id,transcript,intent,service_type,urgency_level
190,i need someone to repair my electrical meter connection,request_service,electrician,medium
191,my electrical outlet has stopped supplying power,report_issue,electrician,medium
192,i hear crackling sounds from the switchboard,report_issue,electrician,high
193,the ceiling light keeps blinking,report_issue,electrician,medium
194,my electrical wiring was damaged by water,report_issue,electrician,high
195,i need an electrician to reconnect my power supply,request_service,electrician,medium
196,the power trips whenever i use the microwave,report_issue,electrician,medium
197,my electrical system is not safe,report_issue,electrician,high
198,i need immediate electrical repair service,request_service,electrician,high
199,my house has a dangerous electrical fault,report_issue,electrician,high
200,i need a carpenter at my house,request_service,carpenter,medium
201,please send a carpenter,request_service,carpenter,medium
202,i need a carpenter to repair my door,request_service,carpenter,medium
203,my wooden door is broken,report_issue,carpenter,medium
204,the front door will not close properly,report_issue,carpenter,medium
205,my bedroom door is damaged,report_issue,carpenter,medium
206,i need someone to repair my wooden furniture,request_service,carpenter,low
207,my dining table is broken,report_issue,carpenter,low
208,one of my chairs is broken,report_issue,carpenter,low
209,the wooden cupboard door is loose,report_issue,carpenter,low
210,my wardrobe needs repair,report_issue,carpenter,medium
211,the cabinet door has fallen off,report_issue,carpenter,medium
212,i need a carpenter to fix my kitchen cabinets,request_service,carpenter,medium
213,my window frame is damaged,report_issue,carpenter,medium
214,the wooden window will not open,report_issue,carpenter,low
215,my wooden shelf has collapsed,report_issue,carpenter,high
216,the staircase handrail is loose,report_issue,carpenter,high
217,i need someone to repair my staircase,request_service,carpenter,high
218,the wooden floor is damaged,report_issue,carpenter,medium
219,my bed frame is broken,report_issue,carpenter,medium
220,i need a carpenter to repair my bed,request_service,carpenter,medium
221,my office desk is damaged,report_issue,carpenter,low
222,the wardrobe door is stuck,report_issue,carpenter,low
223,i need a new wooden shelf installed,request_service,carpenter,low
224,my cupboard lock is loose,report_issue,carpenter,low
225,the wooden gate is damaged,report_issue,carpenter,medium
226,i need emergency carpenter service,request_service,carpenter,high
227,the main door is broken after a break-in,report_issue,carpenter,high
228,my front door frame is cracked,report_issue,carpenter,high
229,the wooden roof support is damaged,report_issue,carpenter,high
230,i need urgent repair for my wooden stairs,request_service,carpenter,high
231,my wooden fence is broken,report_issue,carpenter,medium
232,i need someone to replace a broken wooden panel,request_service,carpenter,medium
233,my kitchen cabinet is falling apart,report_issue,carpenter,high
234,the wooden drawer is stuck,report_issue,carpenter,low
235,i need help fixing a broken wardrobe,request_service,carpenter,medium
236,the door hinges are loose,report_issue,carpenter,low
237,my wooden table leg is broken,report_issue,carpenter,medium
238,i need a carpenter to install new shelves,request_service,carpenter,low
239,the cabinet handles have come off,report_issue,carpenter,low
240,my study table needs repair,report_issue,carpenter,low
241,the wooden door has swollen and will not open,report_issue,carpenter,medium
242,my wooden partition is damaged,report_issue,carpenter,medium
243,i need a carpenter to repair damaged woodwork,request_service,carpenter,medium
244,the wooden ceiling panel is loose,report_issue,carpenter,high
245,my bookshelf is unstable,report_issue,carpenter,medium
246,i need someone to repair my wooden cabinets today,request_service,carpenter,medium
247,the wooden frame around my window is cracked,report_issue,carpenter,medium
248,my furniture needs immediate repair,report_issue,carpenter,high
249,i need a carpenter as soon as possible,request_service,carpenter,high
250,i need a carpenter to fix my broken cupboard,request_service,carpenter,medium
251,my kitchen cabinet door is broken,report_issue,carpenter,medium
252,the wardrobe shelf has fallen down,report_issue,carpenter,medium
253,my wooden chair is unstable,report_issue,carpenter,low
254,the legs of my dining table are loose,report_issue,carpenter,low
255,i need a carpenter to repair my office furniture,request_service,carpenter,low
256,my bedroom wardrobe is damaged,report_issue,carpenter,medium
257,the wooden cabinet is coming apart,report_issue,carpenter,medium
258,i need someone to repair my wooden window,request_service,carpenter,medium
259,my window frame has started to rot,report_issue,carpenter,medium
260,the wooden door lock is loose,report_issue,carpenter,low
261,i need a carpenter to replace my damaged door,request_service,carpenter,medium
262,the door frame is loose,report_issue,carpenter,medium
263,my front gate needs wooden repairs,report_issue,carpenter,medium
264,the hinges on my wooden gate are broken,report_issue,carpenter,medium
265,the wooden roof beam is cracked,report_issue,carpenter,high
266,my ceiling wood panels are damaged,report_issue,carpenter,high
267,i need immediate repair for my wooden roof,request_service,carpenter,high
268,my staircase steps are loose,report_issue,carpenter,high
269,the wooden railing is unsafe,report_issue,carpenter,high
270,my bookshelf has broken shelves,report_issue,carpenter,medium
271,the wooden desk drawer is broken,report_issue,carpenter,low
272,my study chair needs repair,report_issue,carpenter,low
273,i need someone to repair my office desk,request_service,carpenter,low
274,the wooden bench is damaged,report_issue,carpenter,low
275,i need a carpenter to build a new shelf,request_service,carpenter,low
276,i want to install wooden cabinets,request_service,carpenter,low
277,i need custom wooden furniture,request_service,carpenter,low
278,my wardrobe doors are not sliding properly,report_issue,carpenter,medium
279,the cabinet hinges need replacement,report_issue,carpenter,low
280,my wooden cupboard is making cracking sounds,report_issue,carpenter,medium
281,the wooden flooring has come loose,report_issue,carpenter,medium
282,my floorboards need repair,report_issue,carpenter,medium
283,the wooden staircase is making noise,report_issue,carpenter,medium
284,i need someone to strengthen my wooden stairs,request_service,carpenter,high
285,the wooden frame around my door is damaged,report_issue,carpenter,medium
286,my wooden balcony railing is broken,report_issue,carpenter,high
287,i need a carpenter to repair my balcony,request_service,carpenter,high
288,my patio door is damaged,report_issue,carpenter,medium
289,the wooden partition wall is loose,report_issue,carpenter,medium
290,i need a carpenter to fix my wooden fence,request_service,carpenter,medium
291,my fence gate does not close properly,report_issue,carpenter,low
292,the wooden storage cabinet is broken,report_issue,carpenter,medium
293,i need someone to repair my wooden shelves,request_service,carpenter,low
294,my television cabinet is damaged,report_issue,carpenter,low
295,the wooden closet needs repair,report_issue,carpenter,medium
296,my bedroom furniture has been damaged,report_issue,carpenter,medium
297,i need urgent carpenter service for my house,request_service,carpenter,high
298,the wooden support under the stairs is broken,report_issue,carpenter,high
299,my house has a serious wooden structural problem,report_issue,carpenter,high
300,i need a mason at my house,request_service,mason,medium
301,please send a mason,request_service,mason,medium
302,i need a mason to repair a wall,request_service,mason,medium
303,my boundary wall is cracked,report_issue,mason,medium
304,the wall outside my house is damaged,report_issue,mason,medium
305,i need someone to repair broken bricks,request_service,mason,medium
306,my brick wall is collapsing,report_issue,mason,high
307,the concrete wall has cracked,report_issue,mason,medium
308,my house wall needs repair,report_issue,mason,medium
309,i need a mason to rebuild a damaged wall,request_service,mason,high
310,there are large cracks in my wall,report_issue,mason,high
311,my compound wall has fallen down,report_issue,mason,high
312,i need emergency masonry service,request_service,mason,high
313,the cement on my wall is peeling off,report_issue,mason,low
314,i need someone to repair my concrete steps,request_service,mason,medium
315,my front steps are cracked,report_issue,mason,medium
316,the staircase is damaged,report_issue,mason,high
317,my driveway has broken concrete,report_issue,mason,medium
318,i need a mason to repair my driveway,request_service,mason,medium
319,the floor has cracked,report_issue,mason,medium
320,there are cracks in the concrete floor,report_issue,mason,medium
321,my patio needs repair,report_issue,mason,low
322,the garden wall is damaged,report_issue,mason,medium
323,i need someone to repair my garden wall,request_service,mason,medium
324,the retaining wall is leaning,report_issue,mason,high
325,my retaining wall is about to collapse,report_issue,mason,high
326,i need a mason to repair my chimney,request_service,mason,medium
327,the chimney bricks are loose,report_issue,mason,high
328,my brick fence is damaged,report_issue,mason,medium
329,i need someone to repair brickwork,request_service,mason,medium
330,the cement floor is uneven,report_issue,mason,low
331,my porch needs concrete repair,report_issue,mason,medium
332,i need a mason to repair my porch,request_service,mason,medium
333,the concrete pathway is damaged,report_issue,mason,medium
334,my outdoor steps are broken,report_issue,mason,medium
335,the cement around my house is cracked,report_issue,mason,medium
336,i need a mason to repair foundation cracks,request_service,mason,high
337,there are cracks in my building foundation,report_issue,mason,high
338,my foundation needs urgent repair,report_issue,mason,high
339,the concrete slab is damaged,report_issue,mason,medium
340,i need someone to repair concrete blocks,request_service,mason,medium
341,my balcony wall is cracked,report_issue,mason,high
342,the exterior wall has severe damage,report_issue,mason,high
343,i need a mason for wall plaster repair,request_service,mason,low
344,the plaster is falling off the wall,report_issue,mason,medium
345,my ceiling plaster has cracked,report_issue,mason,medium
346,i need someone to repair cracked plaster,request_service,mason,low
347,the cement plaster is coming off,report_issue,mason,medium
348,my brick steps are loose,report_issue,mason,medium
349,i need a mason to repair brick stairs,request_service,mason,medium
350,the sidewalk outside my house is cracked,report_issue,mason,medium
351,my garage floor has cracks,report_issue,mason,medium
352,i need concrete repair around my garage,request_service,mason,medium
353,the brick pillar is damaged,report_issue,mason,high
354,one of the support pillars has cracked,report_issue,mason,high
355,i need someone to repair a support column,request_service,mason,high
356,my entrance wall is damaged,report_issue,mason,medium
357,the concrete fence is cracked,report_issue,mason,medium
358,i need a mason to fix my fence wall,request_service,mason,medium
359,my outdoor wall needs rebuilding,report_issue,mason,high
360,i need someone to repair damaged concrete,request_service,mason,medium
361,the bricks have started falling off,report_issue,mason,high
362,the mortar between the bricks is damaged,report_issue,mason,medium
363,i need brick replacement work,request_service,mason,medium
364,my house has masonry damage,report_issue,mason,medium
365,i need masonry repair today,request_service,mason,medium
366,please send a mason as soon as possible,request_service,mason,high
367,i have an urgent wall repair,report_issue,mason,high
368,my building wall is unsafe,report_issue,mason,high
369,i need immediate concrete repair,request_service,mason,high
370,the entrance steps are broken,report_issue,mason,medium
371,my front wall has collapsed,report_issue,mason,high
372,i need a mason to repair the front entrance,request_service,mason,medium
373,the side wall of my house is cracked,report_issue,mason,medium
374,my brick structure needs repair,report_issue,mason,medium
375,the cement wall is breaking apart,report_issue,mason,high
376,i need a mason to repair structural damage,request_service,mason,high
377,my concrete staircase is unsafe,report_issue,mason,high
378,i need someone to fix broken concrete stairs,request_service,mason,high
379,the backyard wall is damaged,report_issue,mason,medium
380,i need a mason to repair my backyard wall,request_service,mason,medium
381,the outdoor concrete surface is cracked,report_issue,mason,low
382,my concrete platform is damaged,report_issue,mason,medium
383,i need someone to repair cracked cement,request_service,mason,medium
384,the brick foundation is damaged,report_issue,mason,high
385,my building has cracked masonry,report_issue,mason,high
386,i need urgent help with foundation repair,request_service,mason,high
387,the exterior bricks are loose,report_issue,mason,medium
388,my wall has developed new cracks,report_issue,mason,medium
389,the concrete support wall is damaged,report_issue,mason,high
390,i need someone to repair my concrete wall,request_service,mason,medium
391,my home's brickwork needs repair,report_issue,mason,medium
392,i need a mason to inspect wall damage,request_service,mason,low
393,my property wall needs maintenance,report_issue,mason,low
394,the cement wall has water damage,report_issue,mason,medium
395,i need a mason to repair water damaged walls,request_service,mason,medium
396,the concrete edge around my house is broken,report_issue,mason,low
397,i need someone to rebuild part of my wall,request_service,mason,high
398,my masonry problem needs immediate attention,report_issue,mason,high
399,i need a mason immediately,request_service,mason,high
400,i need a motor mechanic,request_service,mechanic,medium
401,please send a motor mechanic,request_service,mechanic,medium
402,i need a mechanic for my car,request_service,mechanic,medium
403,my car will not start,report_issue,mechanic,high
404,the engine will not start,report_issue,mechanic,high
405,my vehicle broke down,report_issue,mechanic,high
406,my car stopped in the middle of the road,report_issue,mechanic,high
407,i need emergency vehicle repair,request_service,mechanic,high
408,my engine is making strange noises,report_issue,mechanic,medium
409,there is smoke coming from my engine,emergency_request,mechanic,high
410,my car is overheating,report_issue,mechanic,high
411,the engine temperature is too high,report_issue,mechanic,high
412,i need someone to inspect my engine,request_service,mechanic,medium
413,my brakes are not working properly,report_issue,mechanic,high
414,the brake pedal feels soft,report_issue,mechanic,high
415,my car is making a grinding noise,report_issue,mechanic,medium
416,i hear a knocking sound from the engine,report_issue,mechanic,medium
417,my steering wheel is shaking,report_issue,mechanic,medium
418,the steering is difficult to control,report_issue,mechanic,high
419,my battery is dead,report_issue,mechanic,medium
420,i need a battery replacement,request_service,mechanic,medium
421,my car will not move,report_issue,mechanic,high
422,the transmission is not working,report_issue,mechanic,high
423,my gearbox has a problem,report_issue,mechanic,high
424,i need someone to repair my gearbox,request_service,mechanic,high
425,my clutch is slipping,report_issue,mechanic,medium
426,the clutch pedal feels loose,report_issue,mechanic,medium
427,i have an oil leak,report_issue,mechanic,medium
428,my engine is leaking oil,report_issue,mechanic,medium
429,there is coolant leaking from my car,report_issue,mechanic,medium
430,my radiator is leaking,report_issue,mechanic,medium
431,i need radiator repair,request_service,mechanic,medium
432,my tires are worn out,report_issue,mechanic,low
433,i have a flat tire,report_issue,mechanic,medium
434,my tire burst while driving,report_issue,mechanic,high
435,the suspension is making noise,report_issue,mechanic,medium
436,my shock absorbers need repair,report_issue,mechanic,medium
437,the exhaust pipe is damaged,report_issue,mechanic,low
438,my exhaust is making loud noises,report_issue,mechanic,medium
439,the check engine light is on,report_issue,mechanic,medium
440,my car vibrates while driving,report_issue,mechanic,medium
441,the air conditioning in my car is not working,report_issue,mechanic,low
442,my car is losing power,report_issue,mechanic,high
443,my vehicle stalls frequently,report_issue,mechanic,high
444,the engine keeps stalling,report_issue,mechanic,high
445,i need engine diagnostics,request_service,mechanic,medium
446,my alternator is not charging,report_issue,mechanic,medium
447,my starter motor is faulty,report_issue,mechanic,medium
448,my headlights are not working,report_issue,mechanic,low
449,the windshield wipers are not working,report_issue,mechanic,low
450,my horn is not working,report_issue,mechanic,low
451,my car makes a squealing noise when braking,report_issue,mechanic,medium
452,the brake discs need replacement,report_issue,mechanic,medium
453,my vehicle needs a full inspection,request_service,mechanic,low
454,i need a mechanic today,request_service,mechanic,medium
455,i need urgent car repair,request_service,mechanic,high
456,please send a mechanic immediately,request_service,mechanic,high
457,my car is stuck on the road,report_issue,mechanic,high
458,my van broke down,report_issue,mechanic,high
459,my motorcycle will not start,report_issue,mechanic,high
460,i need a mechanic for my motorcycle,request_service,mechanic,medium
461,my scooter is not starting,report_issue,mechanic,medium
462,my engine suddenly stopped,report_issue,mechanic,high
463,i think my fuel pump is faulty,report_issue,mechanic,medium
464,the fuel gauge is not working,report_issue,mechanic,low
465,my car consumes too much fuel,report_issue,mechanic,low
466,my engine misfires while driving,report_issue,mechanic,medium
467,i hear rattling noises under the car,report_issue,mechanic,medium
468,the engine loses power when accelerating,report_issue,mechanic,high
469,my vehicle is leaking transmission fluid,report_issue,mechanic,medium
470,my brakes make a loud noise,report_issue,mechanic,medium
471,my steering pulls to one side,report_issue,mechanic,medium
472,the car battery keeps dying,report_issue,mechanic,medium
473,my ignition key will not turn,report_issue,mechanic,medium
474,my vehicle has electrical issues,report_issue,mechanic,medium
475,the engine warning light keeps flashing,report_issue,mechanic,high
476,i smell burning from my car,report_issue,mechanic,high
477,my vehicle overheated on the highway,report_issue,mechanic,high
478,the timing belt may be broken,report_issue,mechanic,high
479,my car shakes while idling,report_issue,mechanic,medium
480,i need someone to repair my engine,request_service,mechanic,medium
481,my car needs immediate attention,report_issue,mechanic,high
482,my vehicle cannot be driven safely,report_issue,mechanic,high
483,i think my engine has failed,report_issue,mechanic,high
484,my vehicle needs servicing urgently,report_issue,mechanic,high
485,i need roadside mechanic assistance,request_service,mechanic,high
486,the car keeps stopping unexpectedly,report_issue,mechanic,high
487,my engine sounds rough,report_issue,mechanic,medium
488,the suspension feels unstable,report_issue,mechanic,medium
489,my car has trouble accelerating,report_issue,mechanic,medium
490,i cannot shift gears properly,report_issue,mechanic,high
491,the clutch makes a strange noise,report_issue,mechanic,medium
492,my engine is running very roughly,report_issue,mechanic,medium
493,the battery warning light is on,report_issue,mechanic,medium
494,my vehicle is making unusual noises,report_issue,mechanic,medium
495,i need my vehicle repaired as soon as possible,request_service,mechanic,high
496,my car broke down unexpectedly,report_issue,mechanic,high
497,i need immediate mechanical assistance,request_service,mechanic,high
498,my vehicle has a serious mechanical problem,report_issue,mechanic,high
499,please arrange a mechanic right away,request_service,mechanic,high
500,i need an ac technician,request_service,air_condition_technician,medium
501,please send an ac technician,request_service,air_condition_technician,medium
502,my air conditioner is not working,report_issue,air_condition_technician,medium
503,the ac is not cooling,report_issue,air_condition_technician,medium
504,my air conditioner stopped working,report_issue,air_condition_technician,high
505,the ac suddenly turned off,report_issue,air_condition_technician,high
506,i need someone to repair my air conditioner,request_service,air_condition_technician,medium
507,my ac is blowing warm air,report_issue,air_condition_technician,medium
508,the ac is leaking water,report_issue,air_condition_technician,medium
509,water is dripping from my air conditioner,report_issue,air_condition_technician,medium
510,the ac is making a loud noise,report_issue,air_condition_technician,medium
511,my air conditioner is vibrating,report_issue,air_condition_technician,medium
512,the indoor unit is leaking,report_issue,air_condition_technician,medium
513,the outdoor unit is not running,report_issue,air_condition_technician,high
514,my ac compressor is not working,report_issue,air_condition_technician,high
515,the ac fan is not spinning,report_issue,air_condition_technician,medium
516,my air conditioner keeps turning off,report_issue,air_condition_technician,medium
517,the ac will not start,report_issue,air_condition_technician,high
518,the remote control is not working,report_issue,air_condition_technician,low
519,my ac is not responding to the remote,report_issue,air_condition_technician,low
520,the air conditioner has a bad smell,report_issue,air_condition_technician,medium
521,my ac smells like something is burning,report_issue,air_condition_technician,high
522,the ac is making unusual sounds,report_issue,air_condition_technician,medium
523,my room is not getting cold,report_issue,air_condition_technician,medium
524,i need emergency ac repair,request_service,air_condition_technician,high
525,please repair my air conditioner today,report_issue,air_condition_technician,medium
526,i need urgent ac service,request_service,air_condition_technician,high
527,the ac stopped cooling during the night,report_issue,air_condition_technician,medium
528,my split ac is not working,report_issue,air_condition_technician,medium
529,my window ac is not cooling,report_issue,air_condition_technician,medium
530,the ac filter needs cleaning,report_issue,air_condition_technician,low
531,my air conditioner needs servicing,report_issue,air_condition_technician,low
532,i need regular ac maintenance,request_service,air_condition_technician,low
533,the ac is freezing up,report_issue,air_condition_technician,medium
534,there is ice forming on the ac unit,report_issue,air_condition_technician,medium
535,my air conditioner trips the power,report_issue,air_condition_technician,high
536,the ac breaker keeps tripping,report_issue,air_condition_technician,high
537,my ac makes a buzzing sound,report_issue,air_condition_technician,medium
538,the compressor is making loud noises,report_issue,air_condition_technician,high
539,the cooling is very weak,report_issue,air_condition_technician,medium
540,my ac is consuming too much electricity,report_issue,air_condition_technician,low
541,the thermostat is not working,report_issue,air_condition_technician,medium
542,the ac temperature cannot be adjusted,report_issue,air_condition_technician,medium
