id,transcript,intent,service_type,urgency_level
50,the kitchen drain is completely blocked,CreateServiceRequest,plumber,high
51,dirty water is coming back through the drain,CreateServiceRequest,plumber,high
52,i have a plumbing problem in my house,CreateServiceRequest,plumber,medium
53,i need plumbing service today,CreateServiceRequest,plumber,medium
54,can you arrange a plumber for me,CreateServiceRequest,plumber,low
55,i need a water technician to inspect the pipes,CreateServiceRequest,plumber,low
56,please send someone to fix my plumbing issue,CreateServiceRequest,plumber,medium
57,my plumbing system needs repair,CreateServiceRequest,plumber,medium
58,there is a major water leak in my house,CreateServiceRequest,plumber,high
59,water is flooding my bathroom,CreateServiceRequest,plumber,high
60,my kitchen is flooded because of a broken pipe,CreateServiceRequest,plumber,high
61,the water meter pipe is leaking,CreateServiceRequest,plumber,medium
62,my home's main water pipe is damaged,CreateServiceRequest,plumber,high
63,i need plumbing assistance immediately,CreateServiceRequest,plumber,high
3069,please send a plumber as quickly as possible,CreateServiceRequest,plumber,high
65,i have an urgent plumbing issue,CreateServiceRequest,plumber,high
66,water is leaking everywhere,CreateServiceRequest,plumber,high
67,the pipe under my bathroom sink has broken,CreateServiceRequest,plumber,high
68,i need someone to stop the water leak,CreateServiceRequest,plumber,high
69,my plumbing emergency needs immediate attention,CreateServiceRequest,plumber,high
70,i need a plumber to fix my bathroom sink,CreateServiceRequest,plumber,medium
71,the water tap is broken,CreateServiceRequest,plumber,low
72,my kitchen faucet is leaking badly,CreateServiceRequest,plumber,medium
73,i have a leaking water pipe in my garden,CreateServiceRequest,plumber,medium
74,the bathroom sink is clogged,CreateServiceRequest,plumber,medium
75,i need someone to repair my toilet,CreateServiceRequest,plumber,medium
76,my toilet will not flush,CreateServiceRequest,plumber,medium
77,the water pipe has started leaking suddenly,CreateServiceRequest,plumber,high
78,my bathroom floor is flooded,CreateServiceRequest,plumber,high
79,there is water leaking near the water meter,CreateServiceRequest,plumber,medium
80,my shower pipe is leaking,CreateServiceRequest,plumber,medium
81,i need a plumber for a blocked drain,CreateServiceRequest,plumber,medium
82,the kitchen drain smells bad and is blocked,CreateServiceRequest,plumber,medium
83,my bathroom tap will not turn off,CreateServiceRequest,plumber,high
84,i found a leak under the bathroom sink,CreateServiceRequest,plumber,medium
85,water is dripping from the pipe joint,CreateServiceRequest,plumber,low
86,the hot water pipe is leaking,CreateServiceRequest,plumber,medium
87,i need emergency plumbing service at my house,CreateServiceRequest,plumber,high
88,the main water valve is leaking,CreateServiceRequest,plumber,high
89,i need someone to replace a damaged pipe,CreateServiceRequest,plumber,medium
90,the sink pipe has come loose,CreateServiceRequest,plumber,medium
91,my water supply pipe is broken,CreateServiceRequest,plumber,high
92,i need a plumber to inspect a water leak,CreateServiceRequest,plumber,medium
93,my bathroom has a serious plumbing issue,CreateServiceRequest,plumber,high
94,water is collecting on my kitchen floor because of a leak,CreateServiceRequest,plumber,high
95,i need a plumber before the leak gets worse,CreateServiceRequest,plumber,high
96,my drain is overflowing after using the sink,CreateServiceRequest,plumber,high
97,there is a small leak in my kitchen pipe,CreateServiceRequest,plumber,low
98,i need help fixing a leaking toilet,CreateServiceRequest,plumber,medium
99,my plumbing problem needs to be fixed today,CreateServiceRequest,plumber,high
100,i need an electrician at my house,CreateServiceRequest,electrician,medium
101,please send an electrician,CreateServiceRequest,electrician,medium
102,i need an electrician to fix a power issue,CreateServiceRequest,electrician,medium
103,the lights are not working,CreateServiceRequest,electrician,medium
104,there is no electricity in my house,CreateServiceRequest,electrician,high
105,my power has gone out suddenly,CreateServiceRequest,electrician,high
106,the circuit breaker keeps tripping,CreateServiceRequest,electrician,medium
107,my electrical panel needs repair,CreateServiceRequest,electrician,medium
108,i have a wiring problem,CreateServiceRequest,electrician,medium
109,there is a burning smell from an electrical outlet,CreateServiceRequest,electrician,high
110,sparks are coming from the power socket,CreateServiceRequest,electrician,high
111,one of my switches is not working,CreateServiceRequest,electrician,low
112,the ceiling fan is not working,CreateServiceRequest,electrician,low
113,i need someone to repair my electrical wiring,CreateServiceRequest,electrician,medium
114,my lights keep flickering,CreateServiceRequest,electrician,medium
115,the power outlet is damaged,CreateServiceRequest,electrician,medium
116,the wall socket is broken,CreateServiceRequest,electrician,low
117,i need an electrician to replace a switch,CreateServiceRequest,electrician,low
118,my electrical system needs inspection,CreateServiceRequest,electrician,low
119,there is a short circuit in my house,CreateServiceRequest,electrician,high
120,the fuse keeps blowing,CreateServiceRequest,electrician,medium
121,i think there is an electrical fault,CreateServiceRequest,electrician,medium
122,the main power switch is not working,CreateServiceRequest,electrician,high
123,my breaker box is making strange noises,CreateServiceRequest,electrician,high
124,the light switch is broken,CreateServiceRequest,electrician,low
125,my room has no electricity,CreateServiceRequest,electrician,medium
126,the kitchen power outlets are not working,CreateServiceRequest,electrician,medium
127,i need emergency electrical service,CreateServiceRequest,electrician,high
128,there is smoke coming from an electrical socket,CreateServiceRequest,electrician,high
129,my house has an electrical emergency,CreateServiceRequest,electrician,high
130,i need someone to fix the power supply,CreateServiceRequest,electrician,medium
131,the electrical wiring is damaged,CreateServiceRequest,electrician,high
132,i need an electrician immediately,CreateServiceRequest,electrician,high
133,my air conditioner is not getting power,CreateServiceRequest,electrician,medium
134,my water heater is not receiving electricity,CreateServiceRequest,electrician,medium
135,the electrical outlet is overheating,CreateServiceRequest,electrician,high
136,my doorbell is not working,CreateServiceRequest,electrician,low
137,i need a new electrical outlet installed,CreateServiceRequest,electrician,low
138,the garage has no electricity,CreateServiceRequest,electrician,medium
139,i need someone to repair my fuse box,CreateServiceRequest,electrician,medium
140,the electrical meter is making unusual sounds,CreateServiceRequest,electrician,high
141,i lost power in one part of the house,CreateServiceRequest,electrician,medium
142,my living room lights will not turn on,CreateServiceRequest,electrician,medium
143,i need help with an electrical problem,CreateServiceRequest,electrician,medium
144,the power keeps turning on and off,CreateServiceRequest,electrician,high
145,the switchboard needs repair,CreateServiceRequest,electrician,medium
146,i think the wiring is unsafe,CreateServiceRequest,electrician,high
147,my electrical connections need repair,CreateServiceRequest,electrician,medium
148,please send an electrician as soon as possible,CreateServiceRequest,electrician,high
149,i need urgent electrical assistance,CreateServiceRequest,electrician,high
150,i need an electrician to repair my ceiling light,CreateServiceRequest,electrician,low
151,the hallway lights are not turning on,CreateServiceRequest,electrician,medium
152,my bedroom has no power,CreateServiceRequest,electrician,medium
153,i need someone to fix my electrical socket,CreateServiceRequest,electrician,medium
154,the power outlet stopped working,CreateServiceRequest,electrician,medium
155,my light bulb keeps burning out,CreateServiceRequest,electrician,low
156,the fuse box is overheating,CreateServiceRequest,electrician,high
157,i smell something burning near the switchboard,CreateServiceRequest,electrician,high
158,my electrical wires are exposed,CreateServiceRequest,electrician,high
159,i need an electrician to inspect my home wiring,CreateServiceRequest,electrician,low
160,my electricity keeps cutting off,CreateServiceRequest,electrician,high
161,the main circuit breaker will not reset,CreateServiceRequest,electrician,high
162,one side of my house has no electricity,CreateServiceRequest,electrician,medium
163,i need to repair a damaged power cable,CreateServiceRequest,electrician,medium
164,the outdoor lights are not working,CreateServiceRequest,electrician,low
165,my security lights have stopped working,CreateServiceRequest,electrician,low
166,the electrical switch sparks when i use it,CreateServiceRequest,electrician,high
167,my power socket is making a buzzing sound,CreateServiceRequest,electrician,high
168,the lights become dim when i use appliances,CreateServiceRequest,electrician,medium
169,my electrical panel is making clicking sounds,CreateServiceRequest,electrician,high
170,i need an electrician to install a new switch,CreateServiceRequest,electrician,low
171,my kitchen lights suddenly went off,CreateServiceRequest,electrician,medium
172,i need someone to repair my light fixtures,CreateServiceRequest,electrician,low
173,my power outlets are loose,CreateServiceRequest,electrician,medium
174,there is an electrical issue in my office,CreateServiceRequest,electrician,medium
175,i need urgent help with a power failure,CreateServiceRequest,electrician,high
176,the electricity keeps fluctuating,CreateServiceRequest,electrician,medium
177,my generator is not supplying electricity properly,CreateServiceRequest,electrician,medium
178,i think my electrical panel is faulty,CreateServiceRequest,electrician,high
179,i lost electricity after the rain,CreateServiceRequest,electrician,high
180,i need electrical repairs before tonight,CreateServiceRequest,electrician,high
181,my home's wiring needs replacement,CreateServiceRequest,electrician,high
182,the extension socket is not working,CreateServiceRequest,electrician,low
183,my garage lights keep flickering,CreateServiceRequest,electrician,medium
184,i need an electrician to fix an electrical leak,CreateServiceRequest,electrician,high
185,there is a problem with my power distribution,CreateServiceRequest,electrician,medium
186,i cannot turn on the lights in my kitchen,CreateServiceRequest,electrician,medium
187,i need an electrician for a complete electrical inspection,CreateServiceRequest,electrician,low
188,my home has voltage issues,CreateServiceRequest,electrician,medium
189,the electrical connection to my water pump is faulty,CreateServiceRequest,electrician,medium
190,i need someone to repair my electrical meter connection,CreateServiceRequest,electrician,medium
191,my electrical outlet has stopped supplying power,CreateServiceRequest,electrician,medium
192,i hear crackling sounds from the switchboard,CreateServiceRequest,electrician,high
193,the ceiling light keeps blinking,CreateServiceRequest,electrician,medium
194,my electrical wiring was damaged by water,CreateServiceRequest,electrician,high
195,i need an electrician to reconnect my power supply,CreateServiceRequest,electrician,medium
196,the power trips whenever i use the microwave,CreateServiceRequest,electrician,medium
197,my electrical system is not safe,CreateServiceRequest,electrician,high
198,i need immediate electrical repair service,CreateServiceRequest,electrician,high
199,my house has a dangerous electrical fault,CreateServiceRequest,electrician,high
200,i need a carpenter at my house,CreateServiceRequest,carpenter,medium
201,please send a carpenter,CreateServiceRequest,carpenter,medium
202,i need a carpenter to repair my door,CreateServiceRequest,carpenter,medium
203,my wooden door is broken,CreateServiceRequest,carpenter,medium
204,the front door will not close properly,CreateServiceRequest,carpenter,medium
205,my bedroom door is damaged,CreateServiceRequest,carpenter,medium
206,i need someone to repair my wooden furniture,CreateServiceRequest,carpenter,low
207,my dining table is broken,CreateServiceRequest,carpenter,low
208,one of my chairs is broken,CreateServiceRequest,carpenter,low
209,the wooden cupboard door is loose,CreateServiceRequest,carpenter,low
210,my wardrobe needs repair,CreateServiceRequest,carpenter,medium
211,the cabinet door has fallen off,CreateServiceRequest,carpenter,medium
212,i need a carpenter to fix my kitchen cabinets,CreateServiceRequest,carpenter,medium
213,my window frame is damaged,CreateServiceRequest,carpenter,medium
214,the wooden window will not open,CreateServiceRequest,carpenter,low
215,my wooden shelf has collapsed,CreateServiceRequest,carpenter,high
216,the staircase handrail is loose,CreateServiceRequest,carpenter,high
217,i need someone to repair my staircase,CreateServiceRequest,carpenter,high
218,the wooden floor is damaged,CreateServiceRequest,carpenter,medium
219,my bed frame is broken,CreateServiceRequest,carpenter,medium
220,i need a carpenter to repair my bed,CreateServiceRequest,carpenter,medium
221,my office desk is damaged,CreateServiceRequest,carpenter,low
222,the wardrobe door is stuck,CreateServiceRequest,carpenter,low
223,i need a new wooden shelf installed,CreateServiceRequest,carpenter,low
224,my cupboard lock is loose,CreateServiceRequest,carpenter,low
225,the wooden gate is damaged,CreateServiceRequest,carpenter,medium
226,i need emergency carpenter service,CreateServiceRequest,carpenter,high
227,the main door is broken after a break-in,CreateServiceRequest,carpenter,high
228,my front door frame is cracked,CreateServiceRequest,carpenter,high
229,the wooden roof support is damaged,CreateServiceRequest,carpenter,high
230,i need urgent repair for my wooden stairs,CreateServiceRequest,carpenter,high
231,my wooden fence is broken,CreateServiceRequest,carpenter,medium
232,i need someone to replace a broken wooden panel,CreateServiceRequest,carpenter,medium
233,my kitchen cabinet is falling apart,CreateServiceRequest,carpenter,high
234,the wooden drawer is stuck,CreateServiceRequest,carpenter,low
235,i need help fixing a broken wardrobe,CreateServiceRequest,carpenter,medium
236,the door hinges are loose,CreateServiceRequest,carpenter,low
237,my wooden table leg is broken,CreateServiceRequest,carpenter,medium
238,i need a carpenter to install new shelves,CreateServiceRequest,carpenter,low
239,the cabinet handles have come off,CreateServiceRequest,carpenter,low
240,my study table needs repair,CreateServiceRequest,carpenter,low
241,the wooden door has swollen and will not open,CreateServiceRequest,carpenter,medium
242,my wooden partition is damaged,CreateServiceRequest,carpenter,medium
243,i need a carpenter to repair damaged woodwork,CreateServiceRequest,carpenter,medium
244,the wooden ceiling panel is loose,CreateServiceRequest,carpenter,high
245,my bookshelf is unstable,CreateServiceRequest,carpenter,medium
246,i need someone to repair my wooden cabinets today,CreateServiceRequest,carpenter,medium
247,the wooden frame around my window is cracked,CreateServiceRequest,carpenter,medium
248,my furniture needs immediate repair,CreateServiceRequest,carpenter,high
249,i need a carpenter as soon as possible,CreateServiceRequest,carpenter,high
250,i need a carpenter to fix my broken cupboard,CreateServiceRequest,carpenter,medium
251,my kitchen cabinet door is broken,CreateServiceRequest,carpenter,medium
252,the wardrobe shelf has fallen down,CreateServiceRequest,carpenter,medium
253,my wooden chair is unstable,CreateServiceRequest,carpenter,low
254,the legs of my dining table are loose,CreateServiceRequest,carpenter,low
255,i need a carpenter to repair my office furniture,CreateServiceRequest,carpenter,low
256,my bedroom wardrobe is damaged,CreateServiceRequest,carpenter,medium
257,the wooden cabinet is coming apart,CreateServiceRequest,carpenter,medium
258,i need someone to repair my wooden window,CreateServiceRequest,carpenter,medium
259,my window frame has started to rot,CreateServiceRequest,carpenter,medium
260,the wooden door lock is loose,CreateServiceRequest,carpenter,low
261,i need a carpenter to replace my damaged door,CreateServiceRequest,carpenter,medium
262,the door frame is loose,CreateServiceRequest,carpenter,medium
263,my front gate needs wooden repairs,CreateServiceRequest,carpenter,medium
264,the hinges on my wooden gate are broken,CreateServiceRequest,carpenter,medium
265,the wooden roof beam is cracked,CreateServiceRequest,carpenter,high
266,my ceiling wood panels are damaged,CreateServiceRequest,carpenter,high
267,i need immediate repair for my wooden roof,CreateServiceRequest,carpenter,high
268,my staircase steps are loose,CreateServiceRequest,carpenter,high
269,the wooden railing is unsafe,CreateServiceRequest,carpenter,high
270,my bookshelf has broken shelves,CreateServiceRequest,carpenter,medium
271,the wooden desk drawer is broken,CreateServiceRequest,carpenter,low
272,my study chair needs repair,CreateServiceRequest,carpenter,low
273,i need someone to repair my office desk,CreateServiceRequest,carpenter,low
274,the wooden bench is damaged,CreateServiceRequest,carpenter,low
275,i need a carpenter to build a new shelf,CreateServiceRequest,carpenter,low
276,i want to install wooden cabinets,CreateServiceRequest,carpenter,low
277,i need custom wooden furniture,CreateServiceRequest,carpenter,low
278,my wardrobe doors are not sliding properly,CreateServiceRequest,carpenter,medium
279,the cabinet hinges need replacement,CreateServiceRequest,carpenter,low
280,my wooden cupboard is making cracking sounds,CreateServiceRequest,carpenter,medium
281,the wooden flooring has come loose,CreateServiceRequest,carpenter,medium
282,my floorboards need repair,CreateServiceRequest,carpenter,medium
283,the wooden staircase is making noise,CreateServiceRequest,carpenter,medium
284,i need someone to strengthen my wooden stairs,CreateServiceRequest,carpenter,high
285,the wooden frame around my door is damaged,CreateServiceRequest,carpenter,medium
286,my wooden balcony railing is broken,CreateServiceRequest,carpenter,high
287,i need a carpenter to repair my balcony,CreateServiceRequest,carpenter,high
288,my patio door is damaged,CreateServiceRequest,carpenter,medium
289,the wooden partition wall is loose,CreateServiceRequest,carpenter,medium
290,i need a carpenter to fix my wooden fence,CreateServiceRequest,carpenter,medium
291,my fence gate does not close properly,CreateServiceRequest,carpenter,low
292,the wooden storage cabinet is broken,CreateServiceRequest,carpenter,medium
293,i need someone to repair my wooden shelves,CreateServiceRequest,carpenter,low
294,my television cabinet is damaged,CreateServiceRequest,carpenter,low
295,the wooden closet needs repair,CreateServiceRequest,carpenter,medium
296,my bedroom furniture has been damaged,CreateServiceRequest,carpenter,medium
297,i need urgent carpenter service for my house,CreateServiceRequest,carpenter,high
298,the wooden support under the stairs is broken,CreateServiceRequest,carpenter,high
299,my house has a serious wooden structural problem,CreateServiceRequest,carpenter,high
300,i need a mason at my house,CreateServiceRequest,mason,medium
301,please send a mason,CreateServiceRequest,mason,medium
302,i need a mason to repair a wall,CreateServiceRequest,mason,medium
303,my boundary wall is cracked,CreateServiceRequest,mason,medium
304,the wall outside my house is damaged,CreateServiceRequest,mason,medium
305,i need someone to repair broken bricks,CreateServiceRequest,mason,medium
306,my brick wall is collapsing,CreateServiceRequest,mason,high
307,the concrete wall has cracked,CreateServiceRequest,mason,medium
308,my house wall needs repair,CreateServiceRequest,mason,medium
309,i need a mason to rebuild a damaged wall,CreateServiceRequest,mason,high
310,there are large cracks in my wall,CreateServiceRequest,mason,high
311,my compound wall has fallen down,CreateServiceRequest,mason,high
312,i need emergency masonry service,CreateServiceRequest,mason,high
313,the cement on my wall is peeling off,CreateServiceRequest,mason,low
314,i need someone to repair my concrete steps,CreateServiceRequest,mason,medium
315,my front steps are cracked,CreateServiceRequest,mason,medium
316,the staircase is damaged,CreateServiceRequest,mason,high
317,my driveway has broken concrete,CreateServiceRequest,mason,medium
318,i need a mason to repair my driveway,CreateServiceRequest,mason,medium
319,the floor has cracked,CreateServiceRequest,mason,medium
320,there are cracks in the concrete floor,CreateServiceRequest,mason,medium
321,my patio needs repair,CreateServiceRequest,mason,low
322,the garden wall is damaged,CreateServiceRequest,mason,medium
323,i need someone to repair my garden wall,CreateServiceRequest,mason,medium
324,the retaining wall is leaning,CreateServiceRequest,mason,high
325,my retaining wall is about to collapse,CreateServiceRequest,mason,high
326,i need a mason to repair my chimney,CreateServiceRequest,mason,medium
327,the chimney bricks are loose,CreateServiceRequest,mason,high
328,my brick fence is damaged,CreateServiceRequest,mason,medium
329,i need someone to repair brickwork,CreateServiceRequest,mason,medium
330,the cement floor is uneven,CreateServiceRequest,mason,low
331,my porch needs concrete repair,CreateServiceRequest,mason,medium
332,i need a mason to repair my porch,CreateServiceRequest,mason,medium
333,the concrete pathway is damaged,CreateServiceRequest,mason,medium
334,my outdoor steps are broken,CreateServiceRequest,mason,medium
335,the cement around my house is cracked,CreateServiceRequest,mason,medium
336,i need a mason to repair foundation cracks,CreateServiceRequest,mason,high
337,there are cracks in my building foundation,CreateServiceRequest,mason,high
338,my foundation needs urgent repair,CreateServiceRequest,mason,high
339,the concrete slab is damaged,CreateServiceRequest,mason,medium
340,i need someone to repair concrete blocks,CreateServiceRequest,mason,medium
341,my balcony wall is cracked,CreateServiceRequest,mason,high
342,the exterior wall has severe damage,CreateServiceRequest,mason,high
343,i need a mason for wall plaster repair,CreateServiceRequest,mason,low
344,the plaster is falling off the wall,CreateServiceRequest,mason,medium
345,my ceiling plaster has cracked,CreateServiceRequest,mason,medium
346,i need someone to repair cracked plaster,CreateServiceRequest,mason,low
347,the cement plaster is coming off,CreateServiceRequest,mason,medium
348,my brick steps are loose,CreateServiceRequest,mason,medium
349,i need a mason to repair brick stairs,CreateServiceRequest,mason,medium
350,the sidewalk outside my house is cracked,CreateServiceRequest,mason,medium
351,my garage floor has cracks,CreateServiceRequest,mason,medium
352,i need concrete repair around my garage,CreateServiceRequest,mason,medium
353,the brick pillar is damaged,CreateServiceRequest,mason,high
354,one of the support pillars has cracked,CreateServiceRequest,mason,high
355,i need someone to repair a support column,CreateServiceRequest,mason,high
356,my entrance wall is damaged,CreateServiceRequest,mason,medium
357,the concrete fence is cracked,CreateServiceRequest,mason,medium
358,i need a mason to fix my fence wall,CreateServiceRequest,mason,medium
359,my outdoor wall needs rebuilding,CreateServiceRequest,mason,high
360,i need someone to repair damaged concrete,CreateServiceRequest,mason,medium
361,the bricks have started falling off,CreateServiceRequest,mason,high
362,the mortar between the bricks is damaged,CreateServiceRequest,mason,medium
363,i need brick replacement work,CreateServiceRequest,mason,medium
364,my house has masonry damage,CreateServiceRequest,mason,medium
365,i need masonry repair today,CreateServiceRequest,mason,medium
366,please send a mason as soon as possible,CreateServiceRequest,mason,high
367,i have an urgent wall repair,CreateServiceRequest,mason,high
368,my building wall is unsafe,CreateServiceRequest,mason,high
369,i need immediate concrete repair,CreateServiceRequest,mason,high
370,the entrance steps are broken,CreateServiceRequest,mason,medium
371,my front wall has collapsed,CreateServiceRequest,mason,high
372,i need a mason to repair the front entrance,CreateServiceRequest,mason,medium
373,the side wall of my house is cracked,CreateServiceRequest,mason,medium
374,my brick structure needs repair,CreateServiceRequest,mason,medium
375,the cement wall is breaking apart,CreateServiceRequest,mason,high
376,i need a mason to repair structural damage,CreateServiceRequest,mason,high
377,my concrete staircase is unsafe,CreateServiceRequest,mason,high
378,i need someone to fix broken concrete stairs,CreateServiceRequest,mason,high
379,the backyard wall is damaged,CreateServiceRequest,mason,medium
380,i need a mason to repair my backyard wall,CreateServiceRequest,mason,medium
381,the outdoor concrete surface is cracked,CreateServiceRequest,mason,low
382,my concrete platform is damaged,CreateServiceRequest,mason,medium
383,i need someone to repair cracked cement,CreateServiceRequest,mason,medium
384,the brick foundation is damaged,CreateServiceRequest,mason,high
385,my building has cracked masonry,CreateServiceRequest,mason,high
386,i need urgent help with foundation repair,CreateServiceRequest,mason,high
387,the exterior bricks are loose,CreateServiceRequest,mason,medium
388,my wall has developed new cracks,CreateServiceRequest,mason,medium
389,the concrete support wall is damaged,CreateServiceRequest,mason,high
390,i need someone to repair my concrete wall,CreateServiceRequest,mason,medium
391,my home's brickwork needs repair,CreateServiceRequest,mason,medium
392,i need a mason to inspect wall damage,CreateServiceRequest,mason,low
393,my property wall needs maintenance,CreateServiceRequest,mason,low
394,the cement wall has water damage,CreateServiceRequest,mason,medium
395,i need a mason to repair water damaged walls,CreateServiceRequest,mason,medium
396,the concrete edge around my house is broken,CreateServiceRequest,mason,low
397,i need someone to rebuild part of my wall,CreateServiceRequest,mason,high
398,my masonry problem needs immediate attention,CreateServiceRequest,mason,high
399,i need a mason immediately,CreateServiceRequest,mason,high
400,i need a motor mechanic,CreateServiceRequest,mechanic,medium
401,please send a motor mechanic,CreateServiceRequest,mechanic,medium
402,i need a mechanic for my car,CreateServiceRequest,mechanic,medium
403,my car will not start,CreateServiceRequest,mechanic,high
404,the engine will not start,CreateServiceRequest,mechanic,high
405,my vehicle broke down,CreateServiceRequest,mechanic,high
406,my car stopped in the middle of the road,CreateServiceRequest,mechanic,high
407,i need emergency vehicle repair,CreateServiceRequest,mechanic,high
408,my engine is making strange noises,CreateServiceRequest,mechanic,medium
409,there is smoke coming from my engine,CreateServiceRequest,mechanic,high
410,my car is overheating,CreateServiceRequest,mechanic,high
411,the engine temperature is too high,CreateServiceRequest,mechanic,high
412,i need someone to inspect my engine,CreateServiceRequest,mechanic,medium
413,my brakes are not working properly,CreateServiceRequest,mechanic,high
414,the brake pedal feels soft,CreateServiceRequest,mechanic,high
415,my car is making a grinding noise,CreateServiceRequest,mechanic,medium
416,i hear a knocking sound from the engine,CreateServiceRequest,mechanic,medium
417,my steering wheel is shaking,CreateServiceRequest,mechanic,medium
418,the steering is difficult to control,CreateServiceRequest,mechanic,high
419,my battery is dead,CreateServiceRequest,mechanic,medium
420,i need a battery replacement,CreateServiceRequest,mechanic,medium
421,my car will not move,CreateServiceRequest,mechanic,high
422,the transmission is not working,CreateServiceRequest,mechanic,high
423,my gearbox has a problem,CreateServiceRequest,mechanic,high
424,i need someone to repair my gearbox,CreateServiceRequest,mechanic,high
425,my clutch is slipping,CreateServiceRequest,mechanic,medium
426,the clutch pedal feels loose,CreateServiceRequest,mechanic,medium
427,i have an oil leak,CreateServiceRequest,mechanic,medium
428,my engine is leaking oil,CreateServiceRequest,mechanic,medium
429,there is coolant leaking from my car,CreateServiceRequest,mechanic,medium
430,my radiator is leaking,CreateServiceRequest,mechanic,medium
431,i need radiator repair,CreateServiceRequest,mechanic,medium
432,my tires are worn out,CreateServiceRequest,mechanic,low
433,i have a flat tire,CreateServiceRequest,mechanic,medium
434,my tire burst while driving,CreateServiceRequest,mechanic,high
435,the suspension is making noise,CreateServiceRequest,mechanic,medium
436,my shock absorbers need repair,CreateServiceRequest,mechanic,medium
437,the exhaust pipe is damaged,CreateServiceRequest,mechanic,low
438,my exhaust is making loud noises,CreateServiceRequest,mechanic,medium
439,the check engine light is on,CreateServiceRequest,mechanic,medium
440,my car vibrates while driving,CreateServiceRequest,mechanic,medium
441,the air conditioning in my car is not working,CreateServiceRequest,mechanic,low
442,my car is losing power,CreateServiceRequest,mechanic,high
443,my vehicle stalls frequently,CreateServiceRequest,mechanic,high
444,the engine keeps stalling,CreateServiceRequest,mechanic,high
445,i need engine diagnostics,CreateServiceRequest,mechanic,medium
446,my alternator is not charging,CreateServiceRequest,mechanic,medium
447,my starter motor is faulty,CreateServiceRequest,mechanic,medium
448,my headlights are not working,CreateServiceRequest,mechanic,low
449,the windshield wipers are not working,CreateServiceRequest,mechanic,low
450,my horn is not working,CreateServiceRequest,mechanic,low
451,my car makes a squealing noise when braking,CreateServiceRequest,mechanic,medium
452,the brake discs need replacement,CreateServiceRequest,mechanic,medium
453,my vehicle needs a full inspection,CreateServiceRequest,mechanic,low
